100 50
4 43 T
4 44 T
4 45 N
4 46 H
4 47 T
4 48 T
4 49 T
4 50 H
5 1 N
5 2 B
5 3 N
5 4 N
5 5 H
5 6 H
5 7 H
5 8 T
5 9 N
5 10 N
5 11 N
5 12 N
5 13 N
5 14 H
5 15 N
5 16 N
5 17 N
5 18 T
5 19 N
5 20 B
5 21 N
5 22 H
5 23 H
5 24 H
5 25 N
5 26 N
5 27 H
5 28 N
5 29 T
5 30 N
5 31 H
5 32 T
5 33 N
5 34 T
5 35 N
5 36 H
5 37 T
5 38 N
5 39 B
5 40 N
5 41 B
5 42 N
5 43 T
5 44 N
5 45 H
5 46 H
5 47 N
5 48 T
5 49 N
5 50 N
6 1 N
6 2 N
6 3 N
6 4 N
6 5 B
6 6 N
6 7 N
6 8 N
6 9 H
6 10 N
6 11 H
6 12 B
6 13 T
6 14 N
6 15 N
6 16 N
6 17 T
6 18 H
6 19 H
6 20 H
6 21 N
6 22 H
6 23 H
6 24 N
6 25 B
6 26 B
6 27 N
6 28 T
6 29 N
6 30 T
6 31 N
6 32 B
6 33 N
6 34 N
6 35 N
6 36 N
6 37 N
6 38 T
6 39 T
6 40 N
6 41 T
6 42 N
6 43 T
6 44 H
6 45 N
6 46 B
6 47 N
6 48 N
6 49 N
6 50 N
7 1 T
7 2 H
7 3 N
7 4 N
7 5 N
7 6 N
7 7 T
7 8 T
7 9 N
7 10 N
7 11 N
7 12 N
7 13 H
7 14 H
7 15 N
7 16 N
7 17 B
7 18 T
7 19 N
7 20 T
7 21 T
7 22 N
7 23 H
7 24 N
7 25 T
7 26 N
7 27 T
7 28 B
7 29 N
7 30 T
7 31 N
7 32 B
7 33 N
7 34 N
7 35 N
7 36 N
7 37 N
7 38 N
7 39 N
7 40 N
7 41 N
7 42 N
7 43 H
7 44 H
7 45 N
7 46 N
7 47 N
7 48 N
7 49 T
7 50 N
8 1 N
8 2 N
8 3 N
8 4 N
8 5 B
8 6 H
8 7 N
8 8 T
8 9 N
8 10 N
8 11 N
8 12 N
8 13 B
8 14 N
8 15 T
8 16 B
8 17 N
8 18 T
8 19 B
8 20 T
8 21 N
8 22 T
8 23 N
8 24 N
8 25 N
8 26 N
8 27 N
8 28 H
8 29 H
8 30 T
8 31 N
8 32 N
8 33 N
8 34 N
8 35 T
8 36 N
8 37 N
8 38 T
8 39 N
8 40 B
8 41 H
8 42 N
8 43 T
8 44 T
8 45 N
8 46 N
8 47 N
8 48 H
8 49 H
8 50 N
9 1 N
9 2 B
9 3 N
9 4 N
9 5 N
9 6 N
9 7 T
9 8 B
9 9 N
9 10 H
9 11 B
9 12 N
9 13 N
9 14 N
9 15 N
9 16 N
9 17 N
9 18 N
9 19 N
9 20 H
9 21 H
9 22 H
9 23 N
9 24 T
9 25 N
9 26 H
9 27 H
9 28 N
9 29 H
9 30 N
9 31 T
9 32 N
9 33 N
9 34 N
9 35 N
9 36 N
9 37 H
9 38 N
9 39 T
9 40 N
9 41 T
9 42 B
9 43 N
9 44 B
9 45 N
9 46 N
9 47 N
9 48 N
9 49 N
9 50 N
10 1 N
10 2 N
10 3 H
10 4 B
10 5 H
10 6 T
10 7 H
10 8 N
10 9 N
10 10 N
10 11 T
10 12 T
10 13 H
10 14 T
10 15 N
10 16 H
10 17 N
10 18 N
10 19 T
10 20 H
10 21 N
10 22 T
10 23 N
10 24 N
10 25 N
10 26 N
10 27 H
10 28 N
10 29 N
10 30 T
10 31 N
10 32 T
10 33 B
10 34 B
10 35 N
10 36 T
10 37 H
10 38 N
10 39 T
10 40 N
10 41 N
10 42 N
10 43 B
10 44 N
10 45 N
10 46 N
10 47 N
10 48 H
10 49 N
10 50 B
11 1 B
11 2 N
11 3 N
11 4 H
11 5 T
11 6 B
11 7 N
11 8 H
11 9 B
11 10 N
11 11 H
11 12 B
11 13 N
11 14 T
11 15 H
11 16 H
11 17 B
11 18 H
11 19 T
11 20 H
11 21 H
11 22 N
11 23 N
11 24 T
11 25 T
11 26 N
11 27 B
11 28 H
11 29 H
11 30 T
11 31 N
11 32 N
11 33 T
11 34 B
11 35 T
11 36 B
11 37 B
11 38 T
11 39 N
11 40 T
11 41 T
11 42 H
11 43 T
11 44 T
11 45 N
11 46 N
11 47 T
11 48 H
11 49 N
11 50 N
12 1 H
12 2 N
12 3 B
12 4 N
12 5 H
12 6 T
12 7 N
12 8 T
12 9 N
12 10 N
12 11 H
12 12 N
12 13 N
12 14 N
12 15 N
12 16 H
12 17 T
12 18 H
12 19 N
12 20 T
12 21 N
12 22 N
12 23 H
12 24 B
12 25 N
12 26 T
12 27 N
12 28 N
12 29 B
12 30 N
12 31 N
12 32 T
12 33 T
12 34 N
12 35 N
12 36 N
12 37 H
12 38 N
12 39 N
12 40 H
12 41 N
12 42 H
12 43 N
12 44 N
12 45 N
12 46 B
12 47 N
12 48 N
12 49 T
12 50 N
13 1 N
13 2 N
13 3 N
13 4 T
13 5 H
13 6 N
13 7 N
13 8 N
13 9 N
13 10 N
13 11 N
13 12 H
13 13 T
13 14 N
13 15 T
13 16 T
13 17 N
13 18 N
13 19 T
13 20 N
13 21 N
13 22 N
13 23 N
13 24 N
13 25 B
13 26 N
13 27 B
13 28 N
13 29 H
13 30 N
13 31 N
13 32 T
13 33 N
13 34 N
13 35 H
13 36 N
13 37 T
13 38 N
13 39 H
13 40 N
13 41 N
13 42 H
13 43 T
13 44 N
13 45 N
13 46 B
13 47 N
13 48 H
13 49 T
13 50 H
14 1 T
14 2 N
14 3 N
14 4 N
14 5 N
14 6 N
14 7 T
14 8 N
14 9 H
14 10 N
14 11 N
14 12 N
14 13 N
14 14 N
14 15 B
14 16 N
14 17 B
14 18 H
14 19 N
14 20 H
14 21 N
14 22 N
14 23 N
14 24 H
14 25 H
14 26 N
14 27 B
14 28 N
14 29 N
14 30 T
14 31 T
14 32 H
14 33 H
14 34 N
14 35 H
14 36 N
14 37 N
14 38 T
14 39 N
14 40 N
14 41 H
14 42 T
14 43 N
14 44 T
14 45 N
14 46 T
14 47 T
14 48 N
14 49 T
14 50 T
15 1 T
15 2 N
15 3 T
15 4 N
15 5 T
15 6 N
15 7 H
15 8 H
15 9 H
15 10 N
15 11 B
15 12 N
15 13 H
15 14 H
15 15 B
15 16 N
15 17 H
15 18 N
15 19 T
15 20 N
15 21 T
15 22 N
15 23 H
15 24 N
15 25 T
15 26 N
15 27 B
15 28 H
15 29 N
15 30 T
15 31 H
15 32 N
15 33 T
15 34 N
15 35 H
15 36 B
15 37 N
15 38 N
15 39 N
15 40 N
15 41 B
15 42 N
15 43 N
15 44 T
15 45 N
15 46 H
15 47 H
15 48 H
15 49 N
15 50 T
16 1 H
16 2 T
16 3 N
16 4 N
16 5 N
16 6 H
16 7 H
16 8 H
16 9 H
16 10 H
16 11 B
16 12 T
16 13 H
16 14 N
16 15 T
16 16 N
16 17 T
16 18 N
16 19 N
16 20 H
16 21 N
16 22 N
16 23 N
16 24 H
16 25 N
16 26 N
16 27 N
16 28 N
16 29 T
16 30 B
16 31 H
16 32 H
16 33 B
16 34 T
16 35 B
16 36 B
16 37 H
16 38 N
16 39 T
16 40 N
16 41 T
16 42 H
16 43 H
16 44 N
16 45 T
16 46 N
16 47 T
16 48 N
16 49 B
16 50 N
17 1 N
17 2 H
17 3 N
17 4 T
17 5 T
17 6 T
17 7 N
17 8 T
17 9 N
17 10 B
17 11 H
17 12 H
17 13 N
17 14 N
17 15 B
17 16 H
17 17 T
17 18 H
17 19 B
17 20 N
17 21 T
17 22 N
17 23 N
17 24 N
17 25 T
17 26 H
17 27 N
17 28 H
17 29 N
17 30 N
17 31 N
17 32 N
17 33 B
17 34 B
17 35 B
17 36 T
17 37 N
17 38 N
17 39 N
17 40 T
17 41 N
17 42 H
17 43 N
17 44 H
17 45 N
17 46 N
17 47 B
17 48 N
17 49 N
17 50 N
18 1 N
18 2 N
18 3 N
18 4 N
18 5 B
18 6 H
18 7 N
18 8 T
18 9 H
18 10 N
18 11 N
18 12 N
18 13 T
18 14 N
18 15 N
18 16 T
18 17 T
18 18 N
18 19 N
18 20 N
18 21 N
18 22 N
18 23 T
18 24 T
18 25 H
18 26 T
18 27 T
18 28 N
18 29 T
18 30 H
18 31 N
18 32 N
18 33 H
18 34 T
18 35 N
18 36 B
18 37 N
18 38 N
18 39 T
18 40 H
18 41 T
18 42 H
18 43 T
18 44 T
18 45 N
18 46 T
18 47 N
18 48 H
18 49 N
18 50 H
19 1 T
19 2 N
19 3 T
19 4 H
19 5 N
19 6 N
19 7 N
19 8 N
19 9 N
19 10 N
19 11 T
19 12 N
19 13 H
19 14 T
19 15 B
19 16 T
19 17 T
19 18 T
19 19 T
19 20 N
19 21 N
19 22 B
19 23 T
19 24 N
19 25 T
19 26 H
19 27 H
19 28 N
19 29 H
19 30 B
19 31 H
19 32 N
19 33 T
19 34 N
19 35 N
19 36 B
19 37 H
19 38 T
19 39 T
19 40 N
19 41 B
19 42 N
19 43 H
19 44 N
19 45 N
19 46 N
19 47 N
19 48 N
19 49 N
19 50 H
20 1 H
20 2 N
20 3 N
20 4 T
20 5 N
20 6 N
20 7 B
20 8 N
20 9 N
20 10 H
20 11 N
20 12 N
20 13 T
20 14 N
20 15 H
20 16 H
20 17 T
20 18 T
20 19 N
20 20 N
20 21 N
20 22 N
20 23 N
20 24 N
20 25 N
20 26 N
20 27 N
20 28 H
20 29 H
20 30 N
20 31 T
20 32 N
20 33 B
20 34 N
20 35 N
20 36 N
20 37 T
20 38 N
20 39 H
20 40 N
20 41 N
20 42 B
20 43 H
20 44 T
20 45 N
20 46 N
20 47 B
20 48 N
20 49 H
20 50 N
21 1 N
21 2 N
21 3 H
21 4 N
21 5 N
21 6 N
21 7 H
21 8 N
21 9 N
21 10 H
21 11 N
21 12 T
21 13 H
21 14 N
21 15 N
21 16 T
21 17 B
21 18 T
21 19 N
21 20 T
21 21 N
21 22 N
21 23 H
21 24 N
21 25 B
21 26 N
21 27 N
21 28 N
21 29 N
21 30 H
21 31 B
21 32 H
21 33 N
21 34 T
21 35 T
21 36 N
21 37 T
21 38 H
21 39 H
21 40 H
21 41 H
21 42 N
21 43 B
21 44 H
21 45 N
21 46 H
21 47 N
21 48 H
21 49 N
21 50 N
22 1 N
22 2 N
22 3 B
22 4 N
22 5 B
22 6 N
22 7 N
22 8 N
22 9 N
22 10 N
22 11 N
22 12 N
22 13 T
22 14 H
22 15 N
22 16 B
22 17 H
22 18 H
22 19 N
22 20 N
22 21 N
22 22 T
22 23 N
22 24 N
22 25 N
22 26 N
22 27 T
22 28 H
22 29 B
22 30 H
22 31 N
22 32 N
22 33 B
22 34 N
22 35 T
22 36 T
22 37 N
22 38 N
22 39 H
22 40 N
22 41 N
22 42 N
22 43 T
22 44 T
22 45 N
22 46 T
22 47 H
22 48 N
22 49 N
22 50 N
23 1 N
23 2 T
23 3 N
23 4 N
23 5 H
23 6 N
23 7 N
23 8 N
23 9 N
23 10 B
23 11 T
23 12 N
23 13 H
23 14 N
23 15 N
23 16 N
23 17 B
23 18 H
23 19 T
23 20 H
23 21 N
23 22 N
23 23 H
23 24 T
23 25 T
23 26 H
23 27 N
23 28 T
23 29 H
23 30 N
23 31 N
23 32 T
23 33 H
23 34 T
23 35 H
23 36 B
23 37 T
23 38 N
23 39 N
23 40 T
23 41 T
23 42 N
23 43 N
23 44 N
23 45 N
23 46 N
23 47 N
23 48 H
23 49 T
23 50 N
24 1 N
24 2 H
24 3 N
24 4 N
24 5 T
24 6 N
24 7 N
24 8 H
24 9 B
24 10 N
24 11 B
24 12 T
24 13 N
24 14 H
24 15 T
24 16 N
24 17 T
24 18 H
24 19 N
24 20 N
24 21 N
24 22 N
24 23 N
24 24 B
24 25 N
24 26 H
24 27 N
24 28 T
24 29 N
24 30 H
24 31 N
24 32 N
24 33 N
24 34 N
24 35 T
24 36 N
24 37 N
24 38 T
24 39 N
24 40 H
24 41 N
24 42 H
24 43 N
24 44 N
24 45 T
24 46 H
24 47 T
24 48 H
24 49 N
24 50 N
25 1 T
25 2 N
25 3 T
25 4 N
25 5 H
25 6 N
25 7 N
25 8 N
25 9 N
25 10 N
25 11 N
25 12 N
25 13 N
25 14 B
25 15 N
25 16 T
25 17 N
25 18 N
25 19 N
25 20 N
25 21 B
25 22 B
25 23 H
25 24 H
25 25 N
25 26 N
25 27 T
25 28 N
25 29 N
25 30 N
25 31 N
25 32 T
25 33 N
25 34 B
25 35 H
25 36 N
25 37 H
25 38 H
25 39 T
25 40 H
25 41 N
25 42 N
25 43 N
25 44 H
25 45 N
25 46 N
25 47 N
25 48 H
25 49 H
25 50 N
26 1 H
26 2 H
26 3 B
26 4 T
26 5 H
26 6 T
26 7 H
26 8 B
26 9 T
26 10 B
26 11 H
26 12 H
26 13 N
26 14 H
26 15 N
26 16 H
26 17 N
26 18 H
26 19 N
26 20 H
26 21 H
26 22 N
26 23 T
26 24 H
26 25 N
26 26 H
26 27 T
26 28 N
26 29 N
26 30 H
26 31 B
26 32 H
26 33 H
26 34 T
26 35 N
26 36 T
26 37 H
26 38 H
26 39 T
26 40 N
26 41 N
26 42 H
26 43 N
26 44 N
26 45 B
26 46 N
26 47 H
26 48 T
26 49 N
26 50 T
27 1 N
27 2 N
27 3 N
27 4 T
27 5 N
27 6 N
27 7 H
27 8 B
27 9 H
27 10 N
27 11 H
27 12 T
27 13 H
27 14 T
27 15 N
27 16 H
27 17 H
27 18 N
27 19 T
27 20 T
27 21 H
27 22 N
27 23 N
27 24 N
27 25 T
27 26 T
27 27 H
27 28 T
27 29 B
27 30 T
27 31 N
27 32 N
27 33 N
27 34 N
27 35 T
27 36 T
27 37 N
27 38 T
27 39 B
27 40 H
27 41 T
27 42 N
27 43 H
27 44 N
27 45 N
27 46 N
27 47 N
27 48 B
27 49 T
27 50 N
28 1 N
28 2 H
28 3 H
28 4 H
28 5 N
28 6 H
28 7 N
28 8 T
28 9 N
28 10 T
28 11 B
28 12 T
28 13 H
28 14 N
28 15 H
28 16 H
28 17 H
28 18 N
28 19 T
28 20 N
28 21 T
28 22 H
28 23 T
28 24 N
28 25 N
28 26 H
28 27 N
28 28 N
28 29 T
28 30 T
28 31 H
28 32 T
28 33 N
28 34 T
28 35 B
28 36 N
28 37 N
28 38 T
28 39 N
28 40 H
28 41 N
28 42 B
28 43 B
28 44 T
28 45 T
28 46 N
28 47 N
28 48 B
28 49 T
28 50 N
29 1 T
29 2 B
29 3 N
29 4 T
29 5 N
29 6 N
29 7 H
29 8 N
29 9 N
29 10 N
29 11 T
29 12 B
29 13 B
29 14 T
29 15 B
29 16 N
29 17 T
29 18 T
29 19 T
29 20 T
29 21 N
29 22 T
29 23 N
29 24 T
29 25 H
29 26 B
29 27 N
29 28 H
29 29 H
29 30 B
29 31 N
29 32 T
29 33 N
29 34 B
29 35 H
29 36 N
29 37 B
29 38 T
29 39 B
29 40 H
29 41 T
29 42 H
29 43 N
29 44 H
29 45 T
29 46 H
29 47 N
29 48 N
29 49 N
29 50 H
30 1 T
30 2 N
30 3 N
30 4 N
30 5 N
30 6 N
30 7 N
30 8 N
30 9 N
30 10 H
30 11 N
30 12 N
30 13 T
30 14 T
30 15 H
30 16 N
30 17 N
30 18 N
30 19 N
30 20 N
30 21 B
30 22 N
30 23 B
30 24 N
30 25 N
30 26 T
30 27 T
30 28 N
30 29 N
30 30 H
30 31 H
30 32 T
30 33 N
30 34 N
30 35 N
30 36 N
30 37 H
30 38 H
30 39 T
30 40 N
30 41 N
30 42 B
30 43 H
30 44 N
30 45 N
30 46 H
30 47 T
30 48 T
30 49 B
30 50 B
31 1 N
31 2 N
31 3 H
31 4 N
31 5 N
31 6 N
31 7 N
31 8 T
31 9 N
31 10 B
31 11 H
31 12 T
31 13 T
31 14 N
31 15 T
31 16 N
31 17 N
31 18 N
31 19 B
31 20 N
31 21 N
31 22 T
31 23 T
31 24 N
31 25 N
31 26 N
31 27 T
31 28 N
31 29 T
31 30 N
31 31 N
31 32 N
31 33 T
31 34 N
31 35 H
31 36 N
31 37 H
31 38 H
31 39 N
31 40 N
31 41 N
31 42 N
31 43 N
31 44 N
31 45 N
31 46 N
31 47 N
31 48 T
31 49 N
31 50 H
32 1 N
32 2 B
32 3 H
32 4 N
32 5 N
32 6 N
32 7 T
32 8 T
32 9 N
32 10 N
32 11 N
32 12 B
32 13 N
32 14 H
32 15 B
32 16 T
32 17 N
32 18 T
32 19 N
32 20 N
32 21 N
32 22 N
32 23 N
32 24 N
32 25 H
32 26 N
32 27 T
32 28 N
32 29 B
32 30 T
32 31 H
32 32 N
32 33 N
32 34 N
32 35 H
32 36 B
32 37 N
32 38 B
32 39 B
32 40 N
32 41 N
32 42 N
32 43 N
32 44 N
32 45 H
32 46 N
32 47 N
32 48 N
32 49 T
32 50 B
33 1 N
33 2 T
33 3 N
33 4 N
33 5 N
33 6 T
33 7 H
33 8 T
33 9 N
33 10 T
33 11 T
33 12 N
33 13 N
33 14 N
33 15 T
33 16 N
33 17 B
33 18 N
33 19 H
33 20 H
33 21 N
33 22 H
33 23 N
33 24 N
33 25 N
33 26 N
33 27 N
33 28 N
33 29 H
33 30 T
33 31 N
33 32 T
33 33 N
33 34 T
33 35 N
33 36 B
33 37 H
33 38 N
33 39 N
33 40 B
33 41 H
33 42 B
33 43 T
33 44 N
33 45 N
33 46 N
33 47 H
33 48 T
33 49 T
33 50 N
34 1 T
34 2 N
34 3 H
34 4 N
34 5 H
34 6 N
34 7 N
34 8 N
34 9 N
34 10 N
34 11 H
34 12 N
34 13 T
34 14 N
34 15 N
34 16 T
34 17 N
34 18 N
34 19 N
34 20 B
34 21 H
34 22 T
34 23 H
34 24 N
34 25 N
34 26 N
34 27 H
34 28 N
34 29 T
34 30 N
34 31 N
34 32 T
34 33 N
34 34 N
34 35 H
34 36 N
34 37 N
34 38 B
34 39 N
34 40 H
34 41 N
34 42 N
34 43 N
34 44 H
34 45 N
34 46 B
34 47 N
34 48 H
34 49 T
34 50 N
35 1 H
35 2 N
35 3 T
35 4 H
35 5 N
35 6 H
35 7 T
35 8 B
35 9 T
35 10 T
35 11 N
35 12 N
35 13 N
35 14 N
35 15 T
35 16 N
35 17 H
35 18 N
35 19 N
35 20 H
35 21 T
35 22 B
35 23 N
35 24 T
35 25 T
35 26 N
35 27 N
35 28 B
35 29 N
35 30 N
35 31 B
35 32 H
35 33 N
35 34 B
35 35 N
35 36 H
35 37 N
35 38 N
35 39 T
35 40 H
35 41 N
35 42 N
35 43 N
35 44 N
35 45 H
35 46 B
35 47 N
35 48 N
35 49 N
35 50 B
36 1 T
36 2 T
36 3 N
36 4 N
36 5 H
36 6 H
36 7 N
36 8 B
36 9 N
36 10 T
36 11 H
36 12 H
36 13 H
36 14 T
36 15 T
36 16 T
36 17 B
36 18 T
36 19 N
36 20 T
36 21 N
36 22 B
36 23 B
36 24 B
36 25 N
36 26 H
36 27 T
36 28 N
36 29 N
36 30 T
36 31 H
36 32 H
36 33 N
36 34 H
36 35 H
36 36 N
36 37 N
36 38 N
36 39 N
36 40 N
36 41 T
36 42 N
36 43 N
36 44 N
36 45 H
36 46 H
36 47 N
36 48 N
36 49 N
36 50 N
37 1 N
37 2 N
37 3 N
37 4 N
37 5 N
37 6 N
37 7 H
37 8 N
37 9 B
37 10 N
37 11 T
37 12 T
37 13 H
37 14 T
37 15 N
37 16 N
37 17 N
37 18 N
37 19 H
37 20 H
37 21 B
37 22 N
37 23 N
37 24 H
37 25 H
37 26 N
37 27 N
37 28 N
37 29 H
37 30 B
37 31 T
37 32 H
37 33 H
37 34 N
37 35 N
37 36 H
37 37 N
37 38 B
37 39 T
37 40 H
37 41 T
37 42 N
37 43 H
37 44 N
37 45 N
37 46 N
37 47 T
37 48 N
37 49 N
37 50 N
38 1 N
38 2 B
38 3 N
38 4 H
38 5 B
38 6 N
38 7 N
38 8 T
38 9 B
38 10 N
38 11 N
38 12 N
38 13 T
38 14 N
38 15 N
38 16 N
38 17 T
38 18 N
38 19 N
38 20 H
38 21 N
38 22 N
38 23 N
38 24 T
38 25 N
38 26 N
38 27 N
38 28 N
38 29 B
38 30 B
38 31 N
38 32 H
38 33 N
38 34 N
38 35 N
38 36 N
38 37 N
38 38 H
38 39 N
38 40 N
38 41 T
38 42 N
38 43 H
38 44 B
38 45 N
38 46 N
38 47 N
38 48 N
38 49 B
38 50 T
39 1 H
39 2 N
39 3 N
39 4 T
39 5 T
39 6 H
39 7 N
39 8 N
39 9 H
39 10 N
39 11 H
39 12 T
39 13 T
39 14 H
39 15 N
39 16 N
39 17 H
39 18 T
39 19 B
39 20 B
39 21 N
39 22 N
39 23 N
39 24 T
39 25 N
39 26 B
39 27 B
39 28 H
39 29 T
39 30 N
39 31 N
39 32 N
39 33 T
39 34 N
39 35 H
39 36 N
39 37 T
39 38 N
39 39 N
39 40 H
39 41 T
39 42 N
39 43 N
39 44 N
39 45 N
39 46 T
39 47 N
39 48 H
39 49 N
39 50 H
40 1 H
40 2 N
40 3 H
40 4 B
40 5 N
40 6 T
40 7 B
40 8 N
40 9 H
40 10 N
40 11 T
40 12 N
40 13 T
40 14 B
40 15 N
40 16 N
40 17 H
40 18 T
40 19 B
40 20 H
40 21 H
40 22 N
40 23 N
40 24 H
40 25 T
40 26 T
40 27 H
40 28 B
40 29 N
40 30 N
40 31 N
40 32 T
40 33 N
40 34 N
40 35 T
40 36 H
40 37 N
40 38 N
40 39 N
40 40 H
40 41 H
40 42 N
40 43 N
40 44 N
40 45 N
40 46 H
40 47 H
40 48 N
40 49 N
40 50 B
41 1 B
41 2 N
41 3 T
41 4 N
41 5 N
41 6 N
41 7 N
41 8 N
41 9 H
41 10 N
41 11 T
41 12 H
41 13 T
41 14 N
41 15 B
41 16 N
41 17 N
41 18 N
41 19 N
41 20 N
41 21 B
41 22 N
41 23 N
41 24 N
41 25 N
41 26 T
41 27 N
41 28 B
41 29 N
41 30 H
41 31 N
41 32 N
41 33 H
41 34 N
41 35 H
41 36 N
41 37 N
41 38 N
41 39 T
41 40 N
41 41 N
41 42 N
41 43 T
41 44 T
41 45 N
41 46 N
41 47 N
41 48 N
41 49 N
41 50 H
42 1 N
42 2 H
42 3 N
42 4 N
42 5 N
42 6 N
42 7 N
42 8 T
42 9 T
42 10 N
42 11 N
42 12 N
42 13 B
42 14 H
42 15 N
42 16 T
42 17 N
42 18 N
42 19 N
42 20 H
42 21 B
42 22 N
42 23 B
42 24 N
42 25 N
42 26 N
42 27 H
42 28 N
42 29 B
42 30 H
42 31 N
42 32 H
42 33 H
42 34 N
42 35 N
42 36 T
42 37 H
42 38 B
42 39 N
42 40 N
42 41 N
42 42 N
42 43 B
42 44 T
42 45 N
42 46 H
42 47 H
42 48 N
42 49 B
42 50 T
43 1 N
43 2 N
43 3 N
43 4 H
43 5 N
43 6 N
43 7 N
43 8 N
43 9 N
43 10 N
43 11 T
43 12 T
43 13 B
43 14 H
43 15 B
43 16 H
43 17 N
43 18 T
43 19 N
43 20 H
43 21 N
43 22 N
43 23 N
43 24 N
43 25 N
43 26 N
43 27 T
43 28 N
43 29 N
43 30 N
43 31 T
43 32 N
43 33 N
43 34 H
43 35 N
43 36 N
43 37 H
43 38 N
43 39 H
43 40 B
43 41 H
43 42 N
43 43 N
43 44 T
43 45 N
43 46 B
43 47 N
43 48 N
43 49 N
43 50 N
44 1 N
44 2 N
44 3 N
44 4 N
44 5 T
44 6 T
44 7 N
44 8 N
44 9 N
44 10 T
44 11 N
44 12 N
44 13 N
44 14 T
44 15 N
44 16 H
44 17 N
44 18 T
44 19 N
44 20 N
44 21 N
44 22 N
44 23 N
44 24 T
44 25 N
44 26 N
44 27 N
44 28 B
44 29 H
44 30 H
44 31 H
44 32 H
44 33 N
44 34 T
44 35 B
44 36 H
44 37 T
44 38 N
44 39 T
44 40 N
44 41 H
44 42 N
44 43 N
44 44 N
44 45 H
44 46 N
44 47 H
44 48 T
44 49 N
44 50 B
45 1 N
45 2 B
45 3 N
45 4 N
45 5 N
45 6 T
45 7 T
45 8 H
45 9 H
45 10 H
45 11 N
45 12 N
45 13 B
45 14 N
45 15 N
45 16 T
45 17 T
45 18 H
45 19 H
45 20 T
45 21 N
45 22 N
45 23 T
45 24 T
45 25 T
45 26 T
45 27 H
45 28 N
45 29 T
45 30 B
45 31 H
45 32 N
45 33 N
45 34 T
45 35 H
45 36 T
45 37 N
45 38 T
45 39 T
45 40 H
45 41 B
45 42 T
45 43 T
45 44 N
45 45 T
45 46 N
45 47 H
45 48 T
45 49 N
45 50 B
46 1 B
46 2 T
46 3 H
46 4 N
46 5 N
46 6 N
46 7 N
46 8 N
46 9 N
46 10 H
46 11 N
46 12 H
46 13 T
46 14 H
46 15 T
46 16 N
46 17 N
46 18 T
46 19 H
46 20 T
46 21 H
46 22 N
46 23 N
46 24 T
46 25 H
46 26 N
46 27 N
46 28 H
46 29 B
46 30 N
46 31 N
46 32 N
46 33 N
46 34 N
46 35 B
46 36 B
46 37 N
46 38 T
46 39 N
46 40 T
46 41 N
46 42 T
46 43 N
46 44 N
46 45 N
46 46 N
46 47 B
46 48 N
46 49 N
46 50 T
47 1 T
47 2 N
47 3 T
47 4 N
47 5 N
47 6 N
47 7 B
47 8 N
47 9 N
47 10 H
47 11 N
47 12 N
47 13 N
47 14 B
47 15 T
47 16 N
47 17 N
47 18 N
47 19 T
47 20 N
47 21 T
47 22 N
47 23 T
47 24 H
47 25 B
47 26 T
47 27 B
47 28 B
47 29 N
47 30 T
47 31 B
47 32 T
