100 50
10 24 N
10 25 N
10 26 N
10 27 N
10 28 N
10 29 N
10 30 H
10 31 B
10 32 N
10 33 N
10 34 N
10 35 T
10 36 H
10 37 H
10 38 N
10 39 N
10 40 H
10 41 T
10 42 N
10 43 N
10 44 N
10 45 N
10 46 N
10 47 N
10 48 H
10 49 H
10 50 T
11 1 N
11 2 N
11 3 N
11 4 N
11 5 N
11 6 B
11 7 N
11 8 H
11 9 T
11 10 N
11 11 N
11 12 N
11 13 N
11 14 T
11 15 N
11 16 N
11 17 N
11 18 B
11 19 N
11 20 N
11 21 H
11 22 N
11 23 N
11 24 H
11 25 N
11 26 N
11 27 H
11 28 N
11 29 T
11 30 N
11 31 N
11 32 B
11 33 N
11 34 N
11 35 N
11 36 N
11 37 T
11 38 H
11 39 T
11 40 N
11 41 T
11 42 B
11 43 N
11 44 N
11 45 N
11 46 N
11 47 B
11 48 N
11 49 N
11 50 H
12 1 T
12 2 N
12 3 T
12 4 T
12 5 N
12 6 N
12 7 N
12 8 T
12 9 H
12 10 N
12 11 H
12 12 N
12 13 N
12 14 N
12 15 H
12 16 N
12 17 T
12 18 H
12 19 H
12 20 T
12 21 T
12 22 T
12 23 N
12 24 N
12 25 N
12 26 N
12 27 T
12 28 T
12 29 H
12 30 H
12 31 T
12 32 N
12 33 T
12 34 H
12 35 N
12 36 T
12 37 N
12 38 N
12 39 B
12 40 T
12 41 T
12 42 H
12 43 N
12 44 N
12 45 T
12 46 N
12 47 T
12 48 N
12 49 N
12 50 N
13 1 N
13 2 T
13 3 N
13 4 N
13 5 B
13 6 T
13 7 T
13 8 H
13 9 H
13 10 N
13 11 H
13 12 N
13 13 H
13 14 B
13 15 N
13 16 N
13 17 N
13 18 N
13 19 T
13 20 N
13 21 B
13 22 T
13 23 T
13 24 N
13 25 H
13 26 N
13 27 N
13 28 B
13 29 T
13 30 N
13 31 N
13 32 H
13 33 H
13 34 H
13 35 N
13 36 B
13 37 T
13 38 H
13 39 H
13 40 H
13 41 N
13 42 T
13 43 N
13 44 N
13 45 H
13 46 N
13 47 H
13 48 N
13 49 H
13 50 H
14 1 H
14 2 T
14 3 H
14 4 H
14 5 T
14 6 B
14 7 N
14 8 N
14 9 T
14 10 T
14 11 H
14 12 N
14 13 H
14 14 H
14 15 N
14 16 T
14 17 T
14 18 N
14 19 N
14 20 N
14 21 H
14 22 N
14 23 N
14 24 H
14 25 B
14 26 H
14 27 H
14 28 H
14 29 N
14 30 B
14 31 N
14 32 N
14 33 N
14 34 B
14 35 H
14 36 T
14 37 N
14 38 N
14 39 H
14 40 B
14 41 N
14 42 N
14 43 H
14 44 N
14 45 H
14 46 N
14 47 N
14 48 H
14 49 H
14 50 H
15 1 H
15 2 T
15 3 H
15 4 B
15 5 H
15 6 H
15 7 H
15 8 B
15 9 N
15 10 N
15 11 N
15 12 T
15 13 T
15 14 H
15 15 N
15 16 H
15 17 H
15 18 B
15 19 H
15 20 B
15 21 T
15 22 H
15 23 N
15 24 H
15 25 N
15 26 T
15 27 N
15 28 T
15 29 N
15 30 H
15 31 T
15 32 N
15 33 T
15 34 N
15 35 T
15 36 N
15 37 N
15 38 N
15 39 T
15 40 N
15 41 N
15 42 N
15 43 N
15 44 T
15 45 T
15 46 N
15 47 T
15 48 T
15 49 N
15 50 N
16 1 T
16 2 T
16 3 B
16 4 T
16 5 H
16 6 T
16 7 T
16 8 H
16 9 N
16 10 N
16 11 B
16 12 B
16 13 H
16 14 N
16 15 T
16 16 N
16 17 N
16 18 N
16 19 N
16 20 T
16 21 N
16 22 B
16 23 T
16 24 N
16 25 N
16 26 T
16 27 H
16 28 H
16 29 N
16 30 H
16 31 T
16 32 N
16 33 N
16 34 N
16 35 N
16 36 N
16 37 H
16 38 N
16 39 N
16 40 T
16 41 N
16 42 H
16 43 T
16 44 B
16 45 T
16 46 H
16 47 N
16 48 H
16 49 N
16 50 N
17 1 N
17 2 N
17 3 N
17 4 B
17 5 T
17 6 H
17 7 N
17 8 N
17 9 T
17 10 T
17 11 B
17 12 N
17 13 H
17 14 T
17 15 N
17 16 T
17 17 N
17 18 H
17 19 B
17 20 H
17 21 T
17 22 T
17 23 H
17 24 N
17 25 N
17 26 N
17 27 N
17 28 H
17 29 N
17 30 T
17 31 N
17 32 N
17 33 T
17 34 N
17 35 T
17 36 B
17 37 N
17 38 N
17 39 N
17 40 N
17 41 H
17 42 H
17 43 N
17 44 T
17 45 B
17 46 N
17 47 H
17 48 N
17 49 H
17 50 H
18 1 H
18 2 T
18 3 N
18 4 T
18 5 N
18 6 B
18 7 T
18 8 N
18 9 H
18 10 H
18 11 N
18 12 H
18 13 N
18 14 N
18 15 N
18 16 B
18 17 H
18 18 T
18 19 N
18 20 N
18 21 N
18 22 T
18 23 H
18 24 B
18 25 N
18 26 N
18 27 H
18 28 B
18 29 H
18 30 N
18 31 N
18 32 N
18 33 N
18 34 N
18 35 B
18 36 N
18 37 N
18 38 N
18 39 H
18 40 N
18 41 H
18 42 N
18 43 N
18 44 N
18 45 N
18 46 H
18 47 N
18 48 T
18 49 H
18 50 N
19 1 N
19 2 H
19 3 T
19 4 T
19 5 N
19 6 H
19 7 H
19 8 N
19 9 N
19 10 N
19 11 N
19 12 N
19 13 N
19 14 H
19 15 N
19 16 H
19 17 B
19 18 N
19 19 H
19 20 T
19 21 B
19 22 N
19 23 N
19 24 N
19 25 H
19 26 N
19 27 N
19 28 H
19 29 T
19 30 N
19 31 B
19 32 N
19 33 N
19 34 N
19 35 N
19 36 B
19 37 H
19 38 N
19 39 N
19 40 N
19 41 T
19 42 B
19 43 B
19 44 H
19 45 B
19 46 T
19 47 T
19 48 N
19 49 H
19 50 H
20 1 H
20 2 N
20 3 N
20 4 N
20 5 N
20 6 N
20 7 N
20 8 T
20 9 N
20 10 B
20 11 T
20 12 N
20 13 N
20 14 B
20 15 H
20 16 N
20 17 T
20 18 N
20 19 N
20 20 N
20 21 T
20 22 N
20 23 H
20 24 N
20 25 H
20 26 T
20 27 N
20 28 B
20 29 H
20 30 H
20 31 N
20 32 T
20 33 N
20 34 N
20 35 T
20 36 N
20 37 N
20 38 N
20 39 H
20 40 N
20 41 N
20 42 B
20 43 T
20 44 N
20 45 H
20 46 N
20 47 N
20 48 B
20 49 N
20 50 T
21 1 N
21 2 N
21 3 T
21 4 N
21 5 H
21 6 N
21 7 T
21 8 T
21 9 N
21 10 H
21 11 N
21 12 N
21 13 H
21 14 N
21 15 N
21 16 T
21 17 H
21 18 H
21 19 B
21 20 H
21 21 N
21 22 B
21 23 B
21 24 B
21 25 B
21 26 H
21 27 H
21 28 N
21 29 N
21 30 N
21 31 N
21 32 N
21 33 N
21 34 N
21 35 B
21 36 T
21 37 N
21 38 N
21 39 T
21 40 N
21 41 N
21 42 H
21 43 N
21 44 N
21 45 N
21 46 N
21 47 T
21 48 T
21 49 N
21 50 T
22 1 H
22 2 H
22 3 H
22 4 N
22 5 N
22 6 B
22 7 N
22 8 N
22 9 T
22 10 H
22 11 N
22 12 T
22 13 N
22 14 N
22 15 N
22 16 H
22 17 H
22 18 H
22 19 H
22 20 H
22 21 B
22 22 H
22 23 T
22 24 T
22 25 H
22 26 N
22 27 T
22 28 T
22 29 N
22 30 N
22 31 T
22 32 N
22 33 N
22 34 N
22 35 N
22 36 N
22 37 N
22 38 N
22 39 N
22 40 N
22 41 N
22 42 H
22 43 H
22 44 H
22 45 T
22 46 N
22 47 N
22 48 N
22 49 H
22 50 N
23 1 H
23 2 N
23 3 N
23 4 N
23 5 T
23 6 N
23 7 T
23 8 H
23 9 N
23 10 N
23 11 T
23 12 B
23 13 H
23 14 N
23 15 T
23 16 H
23 17 N
23 18 N
23 19 N
23 20 H
23 21 N
23 22 T
23 23 T
23 24 H
23 25 B
23 26 H
23 27 T
23 28 H
23 29 N
23 30 T
23 31 N
23 32 T
23 33 N
23 34 N
23 35 H
23 36 T
23 37 N
23 38 N
23 39 N
23 40 N
23 41 B
23 42 N
23 43 N
23 44 N
23 45 N
23 46 N
23 47 B
23 48 T
23 49 N
23 50 N
24 1 H
24 2 N
24 3 N
24 4 B
24 5 H
24 6 H
24 7 N
24 8 N
24 9 T
24 10 B
24 11 T
24 12 H
24 13 H
24 14 N
24 15 N
24 16 B
24 17 N
24 18 N
24 19 N
24 20 N
24 21 B
24 22 T
24 23 N
24 24 N
24 25 N
24 26 N
24 27 T
24 28 H
24 29 H
24 30 N
24 31 B
24 32 N
24 33 H
24 34 N
24 35 H
24 36 H
24 37 T
24 38 N
24 39 N
24 40 N
24 41 T
24 42 N
24 43 H
24 44 N
24 45 N
24 46 H
24 47 N
24 48 N
24 49 B
24 50 N
25 1 T
25 2 H
25 3 T
25 4 N
25 5 N
25 6 H
25 7 H
25 8 N
25 9 T
25 10 N
25 11 T
25 12 H
25 13 T
25 14 T
25 15 H
25 16 N
25 17 H
25 18 N
25 19 N
25 20 T
25 21 N
25 22 N
25 23 N
25 24 T
25 25 N
25 26 N
25 27 N
25 28 T
25 29 N
25 30 T
25 31 N
25 32 N
25 33 N
25 34 N
25 35 N
25 36 H
25 37 T
25 38 H
25 39 N
25 40 N
25 41 T
25 42 T
25 43 N
25 44 N
25 45 N
25 46 N
25 47 H
25 48 N
25 49 N
25 50 T
26 1 N
26 2 N
26 3 T
26 4 N
26 5 N
26 6 H
26 7 N
26 8 B
26 9 H
26 10 H
26 11 T
26 12 N
26 13 T
26 14 B
26 15 N
26 16 H
26 17 H
26 18 T
26 19 B
26 20 N
26 21 H
26 22 N
26 23 N
26 24 N
26 25 H
26 26 N
26 27 B
26 28 T
26 29 N
26 30 H
26 31 H
26 32 N
26 33 H
26 34 B
26 35 N
26 36 N
26 37 N
26 38 N
26 39 H
26 40 N
26 41 H
26 42 N
26 43 H
26 44 N
26 45 N
26 46 H
26 47 N
26 48 B
26 49 N
26 50 N
27 1 T
27 2 H
27 3 N
27 4 N
27 5 H
27 6 T
27 7 H
27 8 B
27 9 N
27 10 T
27 11 N
27 12 N
27 13 N
27 14 N
27 15 N
27 16 N
27 17 N
27 18 T
27 19 B
27 20 T
27 21 N
27 22 N
27 23 N
27 24 N
27 25 T
27 26 T
27 27 T
27 28 T
27 29 T
27 30 N
27 31 T
27 32 N
27 33 T
27 34 H
27 35 N
27 36 B
27 37 N
27 38 H
27 39 N
27 40 N
27 41 N
27 42 H
27 43 N
27 44 T
27 45 N
27 46 T
27 47 T
27 48 N
27 49 N
27 50 H
28 1 H
28 2 N
28 3 N
28 4 H
28 5 T
28 6 N
28 7 H
28 8 H
28 9 T
28 10 N
28 11 N
28 12 N
28 13 N
28 14 N
28 15 H
28 16 N
28 17 N
28 18 N
28 19 T
28 20 B
28 21 H
28 22 N
28 23 N
28 24 N
28 25 H
28 26 N
28 27 N
28 28 T
28 29 B
28 30 N
28 31 T
28 32 B
28 33 H
28 34 N
28 35 B
28 36 B
28 37 N
28 38 H
28 39 H
28 40 N
28 41 N
28 42 N
28 43 T
28 44 T
28 45 T
28 46 H
28 47 H
28 48 T
28 49 H
28 50 N
29 1 N
29 2 H
29 3 T
29 4 H
29 5 T
29 6 H
29 7 B
29 8 N
29 9 H
29 10 T
29 11 N
29 12 N
29 13 T
29 14 T
29 15 N
29 16 H
29 17 N
29 18 T
29 19 T
29 20 N
29 21 H
29 22 N
29 23 N
29 24 B
29 25 N
29 26 N
29 27 N
29 28 N
29 29 N
29 30 T
29 31 H
29 32 N
29 33 N
29 34 N
29 35 B
29 36 N
29 37 T
29 38 H
29 39 N
29 40 B
29 41 T
29 42 N
29 43 B
29 44 H
29 45 T
29 46 T
29 47 N
29 48 N
29 49 B
29 50 N
30 1 B
30 2 N
30 3 N
30 4 N
30 5 N
30 6 B
30 7 T
30 8 H
30 9 H
30 10 H
30 11 H
30 12 N
30 13 H
30 14 N
30 15 N
30 16 N
30 17 N
30 18 N
30 19 N
30 20 N
30 21 N
30 22 N
30 23 N
30 24 N
30 25 N
30 26 B
30 27 H
30 28 N
30 29 T
30 30 T
30 31 B
30 32 T
30 33 H
30 34 N
30 35 N
30 36 B
30 37 T
30 38 T
30 39 N
30 40 B
30 41 N
30 42 N
30 43 B
30 44 T
30 45 T
30 46 N
30 47 T
30 48 B
30 49 T
30 50 T
31 1 N
31 2 H
31 3 B
31 4 T
31 5 N
31 6 T
31 7 B
31 8 N
31 9 N
31 10 B
31 11 N
31 12 N
31 13 B
31 14 N
31 15 T
31 16 H
31 17 T
31 18 N
31 19 T
31 20 T
31 21 N
31 22 N
31 23 H
31 24 N
31 25 N
31 26 N
31 27 N
31 28 H
31 29 H
31 30 N
31 31 N
31 32 T
31 33 H
31 34 H
31 35 H
31 36 N
31 37 N
31 38 N
31 39 N
31 40 T
31 41 N
31 42 H
31 43 H
31 44 B
31 45 N
31 46 N
31 47 B
31 48 N
31 49 B
31 50 H
32 1 T
32 2 N
32 3 N
32 4 H
32 5 N
32 6 N
32 7 T
32 8 B
32 9 H
32 10 T
32 11 N
32 12 N
32 13 N
32 14 H
32 15 H
32 16 H
32 17 H
32 18 B
32 19 N
32 20 N
32 21 N
32 22 H
32 23 H
32 24 B
32 25 N
32 26 T
32 27 N
32 28 H
32 29 B
32 30 N
32 31 H
32 32 N
32 33 H
32 34 B
32 35 T
32 36 B
32 37 B
32 38 H
32 39 N
32 40 T
32 41 N
32 42 N
32 43 T
32 44 N
32 45 H
32 46 H
32 47 B
32 48 T
32 49 H
32 50 H
33 1 N
33 2 H
33 3 T
33 4 N
33 5 B
33 6 N
33 7 N
33 8 N
33 9 H
33 10 N
33 11 N
33 12 N
33 13 H
33 14 N
33 15 N
33 16 T
33 17 T
33 18 N
33 19 N
33 20 N
33 21 N
33 22 N
33 23 T
33 24 N
33 25 N
33 26 T
33 27 H
33 28 N
33 29 N
33 30 B
33 31 N
33 32 N
33 33 H
33 34 H
33 35 N
33 36 T
33 37 N
33 38 H
33 39 H
33 40 N
33 41 T
33 42 H
33 43 N
33 44 T
33 45 T
33 46 N
33 47 H
33 48 H
33 49 H
33 50 N
34 1 H
34 2 N
34 3 H
34 4 B
34 5 T
34 6 N
34 7 N
34 8 N
34 9 N
34 10 B
34 11 N
34 12 N
34 13 T
34 14 T
34 15 H
34 16 N
34 17 B
34 18 N
34 19 H
34 20 H
34 21 N
34 22 B
34 23 H
34 24 N
34 25 T
34 26 T
34 27 N
34 28 N
34 29 H
34 30 H
34 31 N
34 32 N
34 33 H
34 34 N
34 35 B
34 36 H
34 37 H
34 38 B
34 39 B
34 40 B
34 41 N
34 42 N
34 43 T
34 44 N
34 45 N
34 46 N
34 47 N
34 48 N
34 49 B
34 50 B
35 1 H
35 2 N
35 3 N
35 4 N
35 5 T
35 6 T
35 7 N
35 8 N
35 9 N
35 10 N
35 11 N
35 12 N
35 13 H
35 14 N
35 15 N
35 16 N
35 17 H
35 18 H
35 19 B
35 20 N
35 21 N
35 22 T
35 23 H
35 24 H
35 25 N
35 26 N
35 27 B
35 28 T
35 29 B
35 30 H
35 31 H
35 32 N
35 33 H
35 34 T
35 35 N
35 36 T
35 37 T
35 38 H
35 39 N
35 40 N
35 41 N
35 42 N
35 43 T
35 44 N
35 45 H
35 46 N
35 47 T
35 48 B
35 49 B
35 50 H
36 1 N
36 2 N
36 3 N
36 4 H
36 5 T
36 6 H
36 7 N
36 8 N
36 9 B
36 10 T
36 11 N
36 12 H
36 13 H
36 14 B
36 15 H
36 16 N
36 17 N
36 18 B
36 19 T
36 20 H
36 21 H
36 22 N
36 23 B
36 24 N
36 25 N
36 26 T
36 27 T
36 28 N
36 29 H
36 30 T
36 31 B
36 32 T
36 33 N
36 34 N
36 35 T
36 36 N
36 37 N
36 38 H
36 39 H
36 40 H
36 41 B
36 42 H
36 43 T
36 44 T
36 45 N
36 46 N
36 47 N
36 48 H
36 49 N
36 50 N
37 1 T
37 2 N
37 3 B
37 4 N
37 5 N
37 6 H
37 7 H
37 8 B
37 9 N
37 10 H
37 11 N
37 12 T
37 13 N
37 14 N
37 15 B
37 16 B
37 17 N
37 18 N
37 19 T
37 20 N
37 21 N
37 22 T
37 23 T
37 24 N
37 25 N
37 26 H
37 27 N
37 28 H
37 29 T
37 30 H
37 31 H
37 32 B
37 33 N
37 34 N
37 35 H
37 36 H
37 37 T
37 38 T
37 39 N
37 40 N
37 41 N
37 42 N
37 43 T
37 44 T
37 45 H
37 46 T
37 47 T
37 48 H
37 49 N
37 50 N
38 1 N
38 2 B
38 3 T
38 4 N
38 5 B
38 6 B
38 7 N
38 8 N
38 9 N
38 10 H
38 11 T
38 12 N
38 13 H
38 14 N
38 15 H
38 16 T
38 17 N
38 18 H
38 19 T
38 20 T
38 21 T
38 22 T
38 23 B
38 24 T
38 25 N
38 26 N
38 27 N
38 28 N
38 29 H
38 30 B
38 31 N
38 32 N
38 33 N
38 34 T
38 35 N
38 36 H
38 37 N
38 38 N
38 39 T
38 40 N
38 41 N
38 42 N
38 43 H
38 44 B
38 45 H
38 46 H
38 47 N
38 48 T
38 49 N
38 50 H
39 1 N
39 2 N
39 3 N
39 4 H
39 5 N
39 6 N
39 7 N
39 8 N
39 9 T
39 10 T
39 11 H
39 12 H
39 13 N
39 14 B
39 15 H
39 16 N
39 17 T
39 18 N
39 19 N
39 20 H
39 21 N
39 22 N
39 23 N
39 24 N
39 25 N
39 26 N
39 27 N
39 28 T
39 29 N
39 30 N
39 31 B
39 32 N
39 33 H
39 34 T
39 35 N
39 36 N
39 37 T
39 38 H
39 39 N
39 40 N
39 41 B
39 42 N
39 43 N
39 44 N
39 45 H
39 46 H
39 47 N
39 48 H
39 49 T
39 50 H
40 1 N
40 2 N
40 3 B
40 4 H
40 5 N
40 6 N
40 7 T
40 8 N
40 9 H
40 10 T
40 11 H
40 12 N
40 13 H
40 14 H
40 15 N
40 16 H
40 17 H
40 18 N
40 19 T
40 20 T
40 21 N
40 22 B
40 23 H
40 24 N
40 25 T
40 26 B
40 27 B
40 28 N
40 29 N
40 30 N
40 31 T
40 32 N
40 33 H
40 34 H
40 35 N
40 36 B
40 37 N
40 38 N
40 39 H
40 40 N
40 41 H
40 42 H
40 43 N
40 44 N
40 45 T
40 46 B
40 47 H
40 48 H
40 49 N
40 50 N
41 1 N
41 2 H
41 3 N
41 4 N
41 5 N
41 6 H
41 7 H
41 8 N
41 9 T
41 10 N
41 11 N
41 12 N
41 13 N
41 14 H
41 15 N
41 16 N
41 17 N
41 18 N
41 19 T
41 20 N
41 21 T
41 22 T
41 23 B
41 24 H
41 25 T
41 26 N
41 27 N
41 28 B
41 29 H
41 30 N
41 31 N
41 32 N
41 33 N
41 34 T
41 35 N
41 36 N
41 37 H
41 38 N
41 39 N
41 40 H
41 41 H
41 42 B
41 43 N
41 44 T
41 45 H
41 46 N
41 47 N
41 48 H
41 49 H
41 50 N
42 1 T
42 2 N
42 3 H
42 4 T
42 5 N
42 6 H
42 7 T
42 8 T
42 9 N
42 10 B
42 11 H
42 12 N
42 13 N
42 14 B
42 15 T
42 16 H
42 17 N
42 18 H
42 19 T
42 20 N
42 21 H
42 22 T
42 23 N
42 24 N
42 25 N
42 26 T
42 27 N
42 28 T
42 29 B
42 30 T
42 31 T
42 32 N
42 33 N
42 34 H
42 35 N
42 36 N
42 37 N
42 38 N
42 39 B
42 40 N
42 41 N
42 42 B
42 43 N
42 44 N
42 45 N
42 46 N
42 47 N
42 48 N
42 49 N
42 50 B
43 1 N
43 2 H
43 3 B
43 4 H
43 5 T
43 6 T
43 7 N
43 8 N
43 9 T
43 10 N
43 11 N
43 12 N
43 13 B
43 14 B
43 15 T
43 16 T
43 17 N
43 18 N
43 19 N
43 20 N
43 21 N
43 22 B
43 23 T
43 24 N
43 25 N
43 26 B
43 27 N
43 28 B
43 29 N
43 30 N
43 31 H
43 32 H
43 33 N
43 34 B
43 35 T
43 36 H
43 37 T
43 38 N
43 39 T
43 40 B
43 41 N
43 42 N
43 43 N
43 44 H
43 45 N
43 46 N
43 47 H
43 48 B
43 49 N
43 50 T
44 1 T
44 2 T
44 3 H
44 4 N
44 5 H
44 6 N
44 7 N
44 8 T
44 9 N
44 10 T
44 11 N
44 12 N
44 13 N
44 14 N
44 15 N
44 16 T
44 17 N
44 18 N
44 19 N
44 20 H
44 21 N
44 22 B
44 23 T
44 24 N
44 25 N
44 26 T
44 27 T
44 28 T
44 29 N
44 30 N
44 31 N
44 32 H
44 33 N
44 34 T
44 35 N
44 36 N
44 37 H
44 38 H
44 39 T
44 40 N
44 41 N
44 42 N
44 43 H
44 44 H
44 45 B
44 46 B
44 47 N
44 48 B
44 49 N
44 50 N
45 1 N
45 2 H
45 3 N
45 4 B
45 5 N
45 6 T
45 7 T
45 8 T
45 9 N
45 10 N
45 11 N
45 12 N
45 13 T
45 14 N
45 15 H
45 16 T
45 17 H
45 18 H
45 19 T
45 20 N
45 21 N
45 22 H
45 23 T
45 24 N
45 25 N
45 26 T
45 27 T
45 28 N
45 29 N
45 30 H
45 31 H
45 32 N
45 33 T
45 34 T
45 35 N
45 36 T
45 37 H
45 38 H
45 39 N
45 40 N
45 41 N
45 42 N
45 43 N
45 44 T
45 45 N
45 46 T
45 47 N
45 48 N
45 49 H
45 50 B
46 1 N
46 2 N
46 3 N
46 4 N
46 5 T
46 6 N
46 7 N
46 8 N
46 9 N
46 10 T
46 11 T
46 12 N
46 13 H
46 14 N
46 15 T
46 16 N
46 17 N
46 18 H
46 19 N
46 20 N
46 21 N
46 22 H
46 23 N
46 24 N
46 25 H
46 26 N
46 27 T
46 28 H
46 29 B
46 30 T
46 31 N
46 32 H
46 33 T
46 34 N
46 35 T
46 36 N
46 37 H
46 38 N
46 39 H
46 40 N
46 41 N
46 42 B
46 43 T
46 44 B
46 45 N
46 46 H
46 47 N
46 48 B
46 49 N
46 50 H
47 1 T
47 2 B
47 3 H
47 4 T
47 5 N
47 6 T
47 7 N
47 8 B
47 9 H
47 10 T
47 11 B
47 12 T
47 13 H
47 14 T
47 15 N
47 16 N
47 17 B
47 18 N
47 19 B
47 20 T
47 21 H
47 22 N
47 23 H
47 24 T
47 25 N
47 26 T
47 27 H
47 28 N
47 29 T
47 30 T
47 31 N
47 32 H
